,porosity,thickness,lambda,t_value
0,0.95,0.2,7.795,0.153
1,0.95,0.4,15.635,0.153
2,0.95,0.6,23.532,0.152
3,0.95,0.8,31.373,0.152
4,0.95,1.0,38.666,0.154
5,0.9,0.2,3.929,0.303
6,0.9,0.4,7.843,0.304
7,0.9,0.6,11.753,0.304
8,0.9,0.8,15.665,0.304
9,0.9,1.0,19.582,0.304
10,0.85,0.2,2.76,0.435
11,0.85,0.4,4.855,0.497
12,0.85,0.6,7.647,0.469
13,0.85,0.8,10.248,0.467
14,0.85,1.0,12.863,0.464
15,0.8,0.2,1.819,0.664
16,0.8,0.4,3.936,0.61
17,0.8,0.6,6.061,0.598
18,0.8,0.8,8.153,0.594
19,0.8,1.0,10.217,0.593
